Linux 5.15.0-122-generic (iryuda) 	2024年12月25日 	_x86_64_	(48 CPU)

19時55分04秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
19時55分05秒       0      0.00      0.00      1.00      0.00      0.00     99.00
19時55分06秒       0      0.00      0.00      0.00      0.00      0.00    100.00
19時55分07秒       0     16.84      0.00      8.42     73.68      0.00      1.05
19時55分08秒       0      1.04      0.00      6.25     92.71      0.00      0.00
19時55分09秒       0      1.05      0.00      6.32     92.63      0.00      0.00
19時55分10秒       0      0.00      0.00      6.32     93.68      0.00      0.00
19時55分11秒       0      1.05      0.00      6.32     92.63      0.00      0.00
19時55分12秒       0      0.00      0.00      6.38     93.62      0.00      0.00
19時55分13秒       0      1.02      0.00      8.16     90.82      0.00      0.00
19時55分14秒       0      1.04      0.00      6.25     92.71      0.00      0.00
19時55分15秒       0      1.05      0.00      6.32     92.63      0.00      0.00
19時55分16秒       0      0.00      0.00      4.30     95.70      0.00      0.00
19時55分17秒       0      0.00      0.00      2.02     19.19      0.00     78.79
19時55分18秒       0      0.00      0.00      0.00      0.00      0.00    100.00
19時55分19秒       0      0.00      0.00      0.00      0.00      0.00    100.00
平均値:        0      1.52      0.00      4.48     61.06      0.00     32.94
